Date,Close
01-10-2000,4538
01-11-2000,4483
01-12-2000,4541
01-01-2001,4466
01-02-2001,4370
01-03-2001,4269
01-04-2001,4267
01-05-2001,4441
01-06-2001,4400
01-07-2001,4380
01-08-2001,4449
01-09-2001,4631
01-10-2001,4688
01-11-2001,4604
01-12-2001,4576
01-01-2002,4693
01-02-2002,4901
01-03-2002,4920
01-04-2002,5041
01-05-2002,5226
01-06-2002,5313
01-07-2002,5188
01-08-2002,5129
01-09-2002,5239
01-10-2002,5210
01-11-2002,5243
01-12-2002,5444
01-01-2003,5752
01-02-2003,5771
01-03-2003,5433
01-04-2003,5192
01-05-2003,5561
01-06-2003,5509
01-07-2003,5363
01-08-2003,5462
01-09-2003,5718
01-10-2003,5695
01-11-2003,5850
01-12-2003,6094
01-01-2004,6179
01-02-2004,6018
01-03-2004,5986
01-04-2004,5916
01-05-2004,5736
01-06-2004,5862
01-07-2004,6059
01-08-2004,6126
01-09-2004,6170
01-10-2004,6361
01-11-2004,6551
01-12-2004,6445
01-01-2005,6149
01-02-2005,6108
01-03-2005,6262
01-04-2005,6151
01-05-2005,6030
01-06-2005,6134
01-07-2005,6058
01-08-2005,6249
01-09-2005,6535
01-10-2005,6874
01-11-2005,7168
01-12-2005,7586
01-01-2006,7925
01-02-2006,8038
01-03-2006,8059
01-04-2006,8985
01-05-2006,9969
01-06-2006,8952
01-07-2006,9559
01-08-2006,9469
01-09-2006,8998
01-10-2006,8695
01-11-2006,9140
01-12-2006,9133
01-01-2007,9069
01-02-2007,9545
01-03-2007,9370
01-04-2007,9321
01-05-2007,8878
01-06-2007,8707
01-07-2007,8741
01-08-2007,8836
01-09-2007,9311
01-10-2007,9691
01-11-2007,10340
01-12-2007,10311
01-01-2008,11291
01-02-2008,11888
01-03-2008,12632
01-04-2008,11810
01-05-2008,12143
01-06-2008,12353
01-07-2008,13028
01-08-2008,11861
01-09-2008,12220
01-10-2008,12691
01-11-2008,12143
01-12-2008,12923
01-01-2009,13473
01-02-2009,14800
01-03-2009,15232
01-04-2009,14475
01-05-2009,14621
01-06-2009,14639
01-07-2009,14720
01-08-2009,14952
01-09-2009,15723
01-10-2009,15882
01-11-2009,17057
01-12-2009,17159
01-01-2010,16706
01-02-2010,16525
01-03-2010,16614
01-04-2010,16693
01-05-2010,18024
01-06-2010,18745
01-07-2010,18270
01-08-2010,18457
01-09-2010,19056
01-10-2010,19474
01-11-2010,20140
01-12-2010,20506
01-01-2011,20204
01-02-2011,20321
01-03-2011,20835
01-04-2011,21470
01-05-2011,22130
01-06-2011,22214
01-07-2011,22627
01-08-2011,25878
01-09-2011,27487
01-10-2011,26668
01-11-2011,28563
01-12-2011,28063
01-01-2012,27598
01-02-2012,28119
01-03-2012,27854
01-04-2012,28563
01-05-2012,28831
01-06-2012,29819
01-07-2012,29468
01-08-2012,30180
01-09-2012,31673
01-10-2012,31056
01-11-2012,31548
01-12-2012,30833
01-01-2013,30520
01-02-2013,29963
01-03-2013,29514
01-04-2013,27743
01-05-2013,26769
01-06-2013,27178
01-07-2013,26928
01-08-2013,30216
01-09-2013,30473
01-10-2013,30710
01-11-2013,30740
01-12-2013,29904
01-01-2014,29582
01-02-2014,30211
01-03-2014,29832
01-04-2014,29329
01-05-2014,28738
01-06-2014,27427
01-07-2014,28008
01-08-2014,28080
01-09-2014,26963
01-10-2014,26991
01-11-2014,26115
01-12-2014,26678
01-01-2015,27403
01-02-2015,27075
01-03-2015,26168
01-04-2015,26683
01-05-2015,27093
01-06-2015,26646
01-07-2015,25539
01-08-2015,25729
01-09-2015,26246
01-10-2015,26577
01-11-2015,25648
01-12-2015,25207
01-01-2016,25998
01-02-2016,28252
01-03-2016,28794
01-04-2016,28818
01-05-2016,29639
01-06-2016,29745
01-07-2016,30942
01-08-2016,31270
01-09-2016,31178
01-10-2016,30071
01-11-2016,29796
01-12-2016,27754
01-01-2017,28746
01-02-2017,29265
01-03-2017,28758
01-04-2017,29010
01-05-2017,28471
01-06-2017,28823
01-07-2017,28170
01-08-2017,28893
01-09-2017,29899
01-10-2017,29505
01-11-2017,29399
01-12-2017,28763
01-01-2018,29854
01-02-2018,30391
01-03-2018,30420
01-04-2018,30986
01-05-2018,31116
01-06-2018,30707
01-07-2018,30097
01-08-2018,29644
01-09-2018,30538
01-10-2018,31489
01-11-2018,31010
01-12-2018,31251
01-01-2019,32230
01-02-2019,33217
01-03-2019,32036
01-04-2019,31659
01-05-2019,31738
01-06-2019,33121
01-07-2019,34522
01-08-2019,37356
01-09-2019,37927
01-10-2019,38214
01-11-2019,38122
01-12-2019,38092
01-01-2020,39984
01-02-2020,41195
01-03-2020,42285
01-04-2020,45504
01-05-2020,46343
01-06-2020,47315
01-07-2020,49878
01-08-2020,52917